"","Neighborhood","Airbnb","Date","City","ZRI","ZRI_City"
"201","Dongan Hills.(New York)",2,2016-04-01,"New York, NY",2116,2421
"202","Dongan Hills.(New York)",2,2016-03-01,"New York, NY",2125,2418
"203","Dongan Hills.(New York)",1,2016-02-01,"New York, NY",2123,2409
"204","Dongan Hills.(New York)",1,2016-01-01,"New York, NY",2114,2399
"205","Todt Hill.(New York)",1,2016-12-01,"New York, NY",3070,2392
"206","Todt Hill.(New York)",1,2016-11-01,"New York, NY",3050,2388
"207","Todt Hill.(New York)",1,2016-10-01,"New York, NY",3065,2384
"208","Todt Hill.(New York)",1,2016-09-01,"New York, NY",3096,2387
"209","Todt Hill.(New York)",1,2016-08-01,"New York, NY",3123,2396
"210","Todt Hill.(New York)",1,2016-07-01,"New York, NY",3141,2407
"211","Todt Hill.(New York)",1,2016-06-01,"New York, NY",3134,2415
"212","Todt Hill.(New York)",1,2016-05-01,"New York, NY",3151,2419
"213","Todt Hill.(New York)",1,2016-04-01,"New York, NY",3195,2421
"214","Todt Hill.(New York)",1,2016-03-01,"New York, NY",3245,2418
"215","Todt Hill.(New York)",1,2016-02-01,"New York, NY",3256,2409
"216","Todt Hill.(New York)",1,2016-01-01,"New York, NY",3264,2399
"217","Randall Manor.(New York)",5,2016-12-01,"New York, NY",2274,2392
"218","Randall Manor.(New York)",5,2016-11-01,"New York, NY",2274,2388
"219","Randall Manor.(New York)",5,2016-10-01,"New York, NY",2282,2384
"220","Randall Manor.(New York)",5,2016-09-01,"New York, NY",2301,2387
"221","Randall Manor.(New York)",5,2016-08-01,"New York, NY",2324,2396
"222","Randall Manor.(New York)",5,2016-07-01,"New York, NY",2320,2407
"223","Randall Manor.(New York)",5,2016-06-01,"New York, NY",2269,2415
"224","Randall Manor.(New York)",5,2016-05-01,"New York, NY",2215,2419
"225","Randall Manor.(New York)",5,2016-04-01,"New York, NY",2198,2421
"226","Randall Manor.(New York)",5,2016-03-01,"New York, NY",2246,2418
"227","Randall Manor.(New York)",5,2016-02-01,"New York, NY",2255,2409
"228","Randall Manor.(New York)",5,2016-01-01,"New York, NY",2254,2399
"229","Garment District.(New York)",0,2016-12-01,"New York, NY",3500,2392
"230","Garment District.(New York)",0,2016-11-01,"New York, NY",3511,2388
"231","Garment District.(New York)",0,2016-10-01,"New York, NY",3526,2384
"232","Garment District.(New York)",0,2016-09-01,"New York, NY",3537,2387
"233","Garment District.(New York)",0,2016-08-01,"New York, NY",3562,2396
"234","Garment District.(New York)",0,2016-07-01,"New York, NY",3582,2407
"235","Garment District.(New York)",0,2016-06-01,"New York, NY",3599,2415
"236","Garment District.(New York)",0,2016-05-01,"New York, NY",3607,2419
"237","Garment District.(New York)",0,2016-04-01,"New York, NY",3595,2421
"238","Garment District.(New York)",0,2016-03-01,"New York, NY",3577,2418
"239","Garment District.(New York)",0,2016-02-01,"New York, NY",3559,2409
"240","Garment District.(New York)",0,2016-01-01,"New York, NY",3544,2399
"241","Belle Harbor.(New York)",0,2016-12-01,"New York, NY",2318,2392
"242","Belle Harbor.(New York)",0,2016-11-01,"New York, NY",2338,2388
"243","Belle Harbor.(New York)",0,2016-10-01,"New York, NY",2333,2384
"244","Belle Harbor.(New York)",0,2016-09-01,"New York, NY",2320,2387
"245","Belle Harbor.(New York)",0,2016-08-01,"New York, NY",2296,2396
"246","Belle Harbor.(New York)",0,2016-07-01,"New York, NY",2274,2407
"247","Belle Harbor.(New York)",0,2016-06-01,"New York, NY",2252,2415
"248","Belle Harbor.(New York)",0,2016-05-01,"New York, NY",2245,2419
"249","Belle Harbor.(New York)",0,2016-04-01,"New York, NY",2241,2421
"250","Belle Harbor.(New York)",0,2016-03-01,"New York, NY",2250,2418
"251","Belle Harbor.(New York)",0,2016-02-01,"New York, NY",2252,2409
"252","Belle Harbor.(New York)",0,2016-01-01,"New York, NY",2243,2399
"253","Westerleigh.(New York)",3,2016-12-01,"New York, NY",2174,2392
"254","Westerleigh.(New York)",3,2016-11-01,"New York, NY",2155,2388
"255","Westerleigh.(New York)",3,2016-10-01,"New York, NY",2128,2384
"256","Westerleigh.(New York)",3,2016-09-01,"New York, NY",2112,2387
"257","Westerleigh.(New York)",3,2016-08-01,"New York, NY",2100,2396
"258","Westerleigh.(New York)",3,2016-07-01,"New York, NY",2085,2407
"259","Westerleigh.(New York)",3,2016-06-01,"New York, NY",2062,2415
"260","Westerleigh.(New York)",3,2016-05-01,"New York, NY",2052,2419
"261","Westerleigh.(New York)",3,2016-04-01,"New York, NY",2063,2421
"262","Westerleigh.(New York)",3,2016-03-01,"New York, NY",2102,2418
"263","Westerleigh.(New York)",3,2016-02-01,"New York, NY",2107,2409
"264","Westerleigh.(New York)",3,2016-01-01,"New York, NY",2122,2399
"265","Astoria Heights.(New York)",0,2016-12-01,"New York, NY",2264,2392
"266","Astoria Heights.(New York)",0,2016-11-01,"New York, NY",2280,2388
"267","Astoria Heights.(New York)",0,2016-10-01,"New York, NY",2288,2384
"268","Astoria Heights.(New York)",0,2016-09-01,"New York, NY",2299,2387
"269","Astoria Heights.(New York)",0,2016-08-01,"New York, NY",2305,2396
"270","Astoria Heights.(New York)",0,2016-07-01,"New York, NY",2305,2407
"271","Astoria Heights.(New York)",0,2016-06-01,"New York, NY",2297,2415
"272","Astoria Heights.(New York)",0,2016-05-01,"New York, NY",2277,2419
"273","Astoria Heights.(New York)",0,2016-04-01,"New York, NY",2273,2421
"274","Astoria Heights.(New York)",0,2016-03-01,"New York, NY",2279,2418
"275","Astoria Heights.(New York)",0,2016-02-01,"New York, NY",2312,2409
"276","Astoria Heights.(New York)",0,2016-01-01,"New York, NY",2328,2399
"277","Holliswood.(New York)",0,2016-12-01,"New York, NY",2311,2392
"278","Holliswood.(New York)",0,2016-11-01,"New York, NY",2326,2388
"279","Holliswood.(New York)",0,2016-10-01,"New York, NY",2328,2384
"280","Holliswood.(New York)",0,2016-09-01,"New York, NY",2340,2387
"281","Holliswood.(New York)",0,2016-08-01,"New York, NY",2359,2396
"282","Holliswood.(New York)",0,2016-07-01,"New York, NY",2375,2407
"283","Holliswood.(New York)",0,2016-06-01,"New York, NY",2371,2415
"284","Holliswood.(New York)",0,2016-05-01,"New York, NY",2358,2419
"285","Holliswood.(New York)",0,2016-04-01,"New York, NY",2341,2421
"286","Holliswood.(New York)",0,2016-03-01,"New York, NY",2318,2418
"287","Holliswood.(New York)",0,2016-02-01,"New York, NY",2309,2409
"288","Holliswood.(New York)",0,2016-01-01,"New York, NY",2289,2399
"289","Gerritsen Beach.(New York)",2,2016-12-01,"New York, NY",2213,2392
"290","Gerritsen Beach.(New York)",2,2016-11-01,"New York, NY",2180,2388
"291","Gerritsen Beach.(New York)",2,2016-10-01,"New York, NY",2157,2384
"292","Gerritsen Beach.(New York)",2,2016-09-01,"New York, NY",2138,2387
"293","Gerritsen Beach.(New York)",2,2016-08-01,"New York, NY",2117,2396
"294","Gerritsen Beach.(New York)",2,2016-07-01,"New York, NY",2101,2407
"295","Gerritsen Beach.(New York)",2,2016-06-01,"New York, NY",2091,2415
"296","Gerritsen Beach.(New York)",2,2016-05-01,"New York, NY",2088,2419
"297","Gerritsen Beach.(New York)",2,2016-04-01,"New York, NY",2079,2421
"298","Gerritsen Beach.(New York)",2,2016-03-01,"New York, NY",2078,2418
"299","Gerritsen Beach.(New York)",2,2016-02-01,"New York, NY",2058,2409
"300","Gerritsen Beach.(New York)",2,2016-01-01,"New York, NY",2058,2399
"301","Woodrow.(New York)",0,2016-12-01,"New York, NY",2201,2392
"302","Woodrow.(New York)",0,2016-11-01,"New York, NY",2211,2388
"303","Woodrow.(New York)",0,2016-10-01,"New York, NY",2218,2384
"304","Woodrow.(New York)",0,2016-09-01,"New York, NY",2221,2387
"305","Woodrow.(New York)",0,2016-08-01,"New York, NY",2228,2396
"306","Woodrow.(New York)",0,2016-07-01,"New York, NY",2211,2407
"307","Woodrow.(New York)",0,2016-06-01,"New York, NY",2177,2415
"308","Woodrow.(New York)",0,2016-05-01,"New York, NY",2139,2419
"309","Woodrow.(New York)",0,2016-04-01,"New York, NY",2134,2421
"310","Woodrow.(New York)",0,2016-03-01,"New York, NY",2150,2418
"311","Woodrow.(New York)",0,2016-02-01,"New York, NY",2178,2409
"312","Woodrow.(New York)",0,2016-01-01,"New York, NY",2189,2399
"313","New Dorp.(New York)",2,2016-12-01,"New York, NY",2203,2392
"314","New Dorp.(New York)",2,2016-11-01,"New York, NY",2190,2388
"315","New Dorp.(New York)",1,2016-10-01,"New York, NY",2171,2384
"316","New Dorp.(New York)",1,2016-09-01,"New York, NY",2166,2387
"317","New Dorp.(New York)",1,2016-08-01,"New York, NY",2168,2396
"318","New Dorp.(New York)",1,2016-07-01,"New York, NY",2171,2407
"319","New Dorp.(New York)",1,2016-06-01,"New York, NY",2160,2415
"320","New Dorp.(New York)",0,2016-05-01,"New York, NY",2149,2419
"321","New Dorp.(New York)",0,2016-04-01,"New York, NY",2142,2421
"322","New Dorp.(New York)",0,2016-03-01,"New York, NY",2153,2418
"323","New Dorp.(New York)",0,2016-02-01,"New York, NY",2144,2409
"324","New Dorp.(New York)",0,2016-01-01,"New York, NY",2139,2399
"325","NoHo.(New York)",0,2016-12-01,"New York, NY",4352,2392
"326","NoHo.(New York)",0,2016-11-01,"New York, NY",4413,2388
"327","NoHo.(New York)",0,2016-10-01,"New York, NY",4477,2384
"328","NoHo.(New York)",0,2016-09-01,"New York, NY",4558,2387
"329","NoHo.(New York)",0,2016-08-01,"New York, NY",4730,2396
"330","NoHo.(New York)",0,2016-07-01,"New York, NY",4886,2407
"331","NoHo.(New York)",0,2016-06-01,"New York, NY",5015,2415
"332","NoHo.(New York)",0,2016-05-01,"New York, NY",5125,2419
"333","NoHo.(New York)",0,2016-04-01,"New York, NY",5123,2421
"334","NoHo.(New York)",0,2016-03-01,"New York, NY",5079,2418
"335","NoHo.(New York)",0,2016-02-01,"New York, NY",4915,2409
"336","NoHo.(New York)",0,2016-01-01,"New York, NY",4784,2399
"337","New Brighton.(New York)",2,2016-12-01,"New York, NY",2120,2392
"338","New Brighton.(New York)",2,2016-11-01,"New York, NY",2098,2388
"339","New Brighton.(New York)",2,2016-10-01,"New York, NY",2088,2384
"340","New Brighton.(New York)",2,2016-09-01,"New York, NY",2103,2387
"341","New Brighton.(New York)",2,2016-08-01,"New York, NY",2130,2396
"342","New Brighton.(New York)",2,2016-07-01,"New York, NY",2146,2407
"343","New Brighton.(New York)",2,2016-06-01,"New York, NY",2116,2415
"344","New Brighton.(New York)",2,2016-05-01,"New York, NY",2078,2419
"345","New Brighton.(New York)",2,2016-04-01,"New York, NY",2058,2421
"346","New Brighton.(New York)",2,2016-03-01,"New York, NY",2079,2418
"347","New Brighton.(New York)",2,2016-02-01,"New York, NY",2078,2409
"348","New Brighton.(New York)",1,2016-01-01,"New York, NY",2070,2399
"349","Tompkinsville.(New York)",10,2016-12-01,"New York, NY",2016,2392
"350","Tompkinsville.(New York)",10,2016-11-01,"New York, NY",2025,2388
"351","Tompkinsville.(New York)",10,2016-10-01,"New York, NY",2042,2384
"352","Tompkinsville.(New York)",10,2016-09-01,"New York, NY",2080,2387
"353","Tompkinsville.(New York)",7,2016-08-01,"New York, NY",2121,2396
"354","Tompkinsville.(New York)",7,2016-07-01,"New York, NY",2139,2407
"355","Tompkinsville.(New York)",7,2016-06-01,"New York, NY",2106,2415
"356","Tompkinsville.(New York)",6,2016-05-01,"New York, NY",2067,2419
"357","Tompkinsville.(New York)",6,2016-04-01,"New York, NY",2046,2421
"358","Tompkinsville.(New York)",6,2016-03-01,"New York, NY",2061,2418
"359","Tompkinsville.(New York)",6,2016-02-01,"New York, NY",2061,2409
"360","Tompkinsville.(New York)",6,2016-01-01,"New York, NY",2049,2399
"361","Manhattan Beach.(New York)",10,2016-12-01,"New York, NY",2463,2392
"362","Manhattan Beach.(New York)",10,2016-11-01,"New York, NY",2437,2388
"363","Manhattan Beach.(New York)",10,2016-10-01,"New York, NY",2428,2384
"364","Manhattan Beach.(New York)",10,2016-09-01,"New York, NY",2432,2387
"365","Manhattan Beach.(New York)",10,2016-08-01,"New York, NY",2444,2396
"366","Manhattan Beach.(New York)",9,2016-07-01,"New York, NY",2462,2407
"367","Manhattan Beach.(New York)",9,2016-06-01,"New York, NY",2469,2415
"368","Manhattan Beach.(New York)",9,2016-05-01,"New York, NY",2453,2419
"369","Manhattan Beach.(New York)",9,2016-04-01,"New York, NY",2421,2421
"370","Manhattan Beach.(New York)",7,2016-03-01,"New York, NY",2398,2418
