"","Johnston Terrace","Chestnut","Barton Creek","Southeast","RMMA","West Congress","Dawson","Mckinney","East Cesar Chavez","Holly","Coronado Hills","West Gate","East Congress","Galindo","Hancock","MLK","North Shoal Creek","Central East Austin","North University","Highland","Crestview","Rosewood","Upper Boggy Creek","Govalle","Zilker","Old West Austin","University Hills","North Loop","Pecan Springs Springdale","Wooten","Sweet Briar","Windsor Hills","Windsor Road","Rosedale","Hyde Park","Bouldin","Downtown","Heritage Hills","North Lamar","South River City","South Manchaca","South Lamar","Brentwood","MLK 183","Allandale","Barton Hills","St. Johns","Georgian Acres","Parker Lane","Wells Branch","Montopolis","Garrison Park","East Oak Hill","Riverside","West Oak Hill","Pleasant Valley","West University","Windsor Park","Franklin Park","North Austin","date"
"30",0,0,5,0,0,15,37,0,0,80,0,0,24,35,35,0,4,0,0,16,6,64,27,23,122,70,2,17,0,6,0,3,0,17,34,0,79,0,0,0,27,66,28,0,0,89,13,2,30,0,13,0,0,0,0,11,0,31,0,0,1:76
"31",0,0,5,0,0,15,39,0,0,81,0,0,24,35,35,0,4,0,0,17,6,65,27,23,124,71,2,19,0,6,0,3,0,17,35,0,81,0,0,0,28,68,28,0,0,92,13,2,31,0,13,0,0,0,0,11,0,33,0,0,1:76
"32",0,0,5,0,0,16,41,0,0,85,0,0,24,35,37,0,4,0,0,17,6,66,29,25,127,72,2,20,0,6,0,3,0,17,36,0,81,0,0,0,29,69,28,0,0,97,13,2,32,0,13,0,0,0,0,12,0,35,0,0,1:76
"33",0,0,5,0,0,16,41,0,0,86,0,0,24,36,38,0,4,0,0,18,7,66,29,26,129,74,2,20,0,6,0,3,0,17,37,0,82,0,0,0,30,71,28,0,0,98,13,2,33,0,13,0,0,0,0,13,0,36,0,0,1:76
"34",0,0,5,0,0,16,44,0,0,86,0,0,25,38,38,0,5,0,0,19,7,69,32,26,134,76,2,20,0,6,0,3,0,19,37,0,83,0,0,0,30,75,28,0,0,102,16,2,33,0,13,0,0,0,0,14,0,37,0,0,1:76
"35",0,0,5,0,0,17,45,0,0,89,0,0,25,39,44,0,6,0,0,21,7,70,33,27,140,77,2,25,0,6,0,3,0,21,38,0,86,0,0,0,30,75,29,0,0,106,16,3,33,0,13,0,0,0,0,14,0,37,0,0,1:76
"36",0,0,6,0,0,18,47,0,0,93,0,0,25,43,47,0,6,0,0,22,7,75,34,29,149,79,2,27,0,7,0,3,0,22,43,0,87,0,0,0,35,79,31,0,0,114,16,3,34,0,13,0,0,0,0,15,0,38,0,0,1:76
"37",0,0,6,0,0,18,47,0,0,94,0,0,25,43,50,0,7,0,0,22,7,81,36,29,154,80,3,27,0,7,0,3,0,24,43,0,89,0,0,0,36,83,31,0,0,117,16,4,36,0,13,0,0,0,0,15,0,39,0,0,1:76
"38",0,0,7,0,0,18,47,0,0,95,0,0,26,43,53,0,7,0,0,22,7,82,36,30,159,80,3,28,0,7,0,3,0,24,43,0,92,0,0,0,39,83,31,0,0,118,16,4,36,0,13,0,0,0,0,15,0,39,0,0,1:76
"39",0,0,7,0,0,19,49,0,0,96,0,0,26,43,53,0,7,0,0,24,7,82,36,31,164,82,3,28,0,7,0,3,0,27,43,0,93,0,0,0,39,84,34,0,0,121,16,4,37,0,13,0,0,0,0,15,0,40,0,0,1:76
"40",0,0,7,0,0,20,55,0,0,101,0,0,27,43,58,0,7,0,0,25,7,83,44,37,169,84,3,30,0,7,0,3,0,30,44,0,94,0,0,0,41,85,36,0,0,129,16,4,39,0,13,0,0,0,0,17,0,40,0,0,1:76
"41",0,0,7,0,0,22,61,0,0,107,0,0,30,47,58,0,7,0,0,28,8,88,46,39,172,90,3,33,0,7,0,3,0,33,47,0,96,0,0,0,41,95,37,0,0,136,16,4,42,0,15,0,0,0,0,20,0,43,0,0,1:76
"42",0,0,8,0,0,25,63,0,0,109,0,0,31,50,62,0,7,0,0,31,8,89,48,42,176,94,3,34,0,7,0,3,0,33,50,0,97,0,0,0,41,98,37,0,0,137,16,4,43,0,15,0,0,0,0,21,0,46,0,0,1:76
